FEDFUNDS,Owner-Occupied-Home-Proportion,30-Year-Mortgage-Rate,Consumer-Price-Index,Year,Month,Quarter,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars,Year-Quarter-Month
0.09,64.8,4.3375,236.468,2014,April,Q2,South,Double,81300.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,South,Single ,43900.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,South,Total1,66100.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,United States,Double,83000.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,United States,Single ,44700.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,United States,Total1,66400.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,West,Double,92900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,West,Single ,47600.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,West,Total1,77100.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-April
0.09,64.8,4.192,236.918,2014,May,Q2,Midwest,Double,79600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,Midwest,Single ,46800.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,Midwest,Total1,61700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,Northeast,Double,76200.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,Northeast,Single ,50200.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,Northeast,Total1,62900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,South,Double,76100.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,South,Single ,44200.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,South,Total1,64000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,United States,Double,78300.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,United States,Single ,45700.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,United States,Total1,65400.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,West,Double,88900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,West,Single ,49000.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-May
0.09,64.8,4.192,236.918,2014,May,Q2,West,Total1,77400.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-May
0.1,64.8,4.1625,237.231,2014,June,Q2,Midwest,Double,81200.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,Midwest,Single ,45600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,Midwest,Total1,58700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,Northeast,Double,94900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,Northeast,Single ,47000.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,Northeast,Total1,73800.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,South,Double,81000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,South,Single ,44600.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,South,Total1,62600.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,United States,Double,84000.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,United States,Single ,44900.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,United States,Total1,65200.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,West,Double,92300.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,West,Single ,44200.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-June
0.1,64.8,4.1625,237.231,2014,June,Q2,West,Total1,82300.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q2-June
0.09,64.3,4.13,237.498,2014,July,Q3,Midwest,Double,77800.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,Midwest,Single ,45200.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,Midwest,Total1,61600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,Northeast,Double,73300.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,Northeast,Single ,43900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,Northeast,Total1,57900.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,South,Double,77800.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,South,Single ,45700.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,South,Total1,61200.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,United States,Double,80100.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,United States,Single ,45400.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,United States,Total1,63500.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,West,Double,92900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,West,Single ,45200.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-July
0.09,64.3,4.13,237.498,2014,July,Q3,West,Total1,79300.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q3-July
0.09,64.3,4.115,237.46,2014,August,Q3,Midwest,Double,80900.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,Midwest,Single ,46800.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-August
0.09,64.3,4.115,237.46,2014,August,Q3,Midwest,Total1,60200.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q3-August
